"n1s1"	"n1s0"	"n0s1"	"n0s0"	"n1ss"	"n0ss"	"Author_Year"	"study"	"miss"
"1"	5	44	3	48	49	51	"Bofill_1997"	1	0
"2"	15	141	22	140	156	162	"Clark_1998"	2	0
"3"	85	408	71	428	493	499	"Dickinson_2002"	3	1
"4"	19	129	4	40	148	44	"Evron_2008"	4	1
"5"	4	11	3	12	15	15	"El_Kerdawy_2010"	5	1
"6"	39	577	34	573	616	607	"Gambling_1998"	6	1
"7"	0	30	1	59	30	60	"Grandjean_1979"	7	1
"8"	12	112	12	106	124	118	"Halpern_2004"	8	0
"9"	10	46	7	53	56	60	"Head_2002"	9	0
"10"	7	46	6	46	53	52	"Hogg_2000"	10	1
"11"	13	171	16	169	184	185	"Howell_2001"	11	1
"12"	9	36	11	72	45	83	"Jain_2003"	12	0
"13"	1	29	6	44	30	50	"Long_2003"	13	1
"14"	36	268	40	270	304	310	"Loughnan_2000"	14	1
"15"	63	309	62	304	372	366	"Lucas_2001"	15	1
"16"	3	25	2	20	28	22	"Muir_1996"	16	1
"17"	11	86	9	79	97	88	"Muir_2000"	17	1
"18"	24	173	19	179	197	198	"Nafisi_2006"	18	0
"19"	0	10	0	10	10	10	"Nikkola_1997"	19	0
"20"	10	47	6	48	57	54	"Philipsen_1989"	20	1
"21"	41	623	25	641	664	666	"Ramin_1995"	21	0
"22"	13	345	16	341	358	357	"Sharma_1997"	22	0
"23"	16	210	20	213	226	233	"Sharma_2002"	23	1
"24"	15	45	18	32	60	50	"Shifman_2007"	24	1
"25"	6	8	4	10	14	14	"Thalme_1974"	25	1
"26"	12	36	1	44	48	45	"Thorp_1993"	26	1
"27"	1	24	1	26	25	27	"Volmanen_2008"	27	0
