"Author"	"Year"	"n111"	"n11s"	"n101"	"n10s"	"n1s1"	"n1ss"	"n011"	"n01s"	"n001"	"n00s"	"n0s1"	"n0ss"	"Author_Year"	"study"	"n110"	"n100"	"n010"	"n000"	"n1s0"	"n0s0"	"miss_r1"	"miss_r0"	"miss"
"1"	"Bofill"	1997	5	47	0	2	0	49	1	12	2	39	0	51	"Bofill_1997"	1	42	2	11	37	0	0	0	0	0
"2"	"Clark"	1998	13	147	2	9	0	156	16	84	6	78	0	162	"Clark_1998"	2	134	7	68	72	0	0	0	0	0
"4"	"Evron"	2008	0	NA	0	NA	19	NA	0	0	4	44	0	44	"Evron_2008"	4	0	0	0	40	129	0	1	0	1
"6"	"Gambling"	1998	29	400	10	216	0	616	0	NA	0	448	34	NA	"Gambling_1998"	6	371	206	0	0	0	573	0	1	1
"8"	"Halpern"	2004	12	124	0	0	0	124	7	51	5	67	0	118	"Halpern_2004"	8	112	0	44	62	0	0	0	0	0
"9"	"Head"	2002	10	53	0	3	0	56	0	2	7	58	0	60	"Head_2002"	9	43	3	2	51	0	0	0	0	0
"12"	"Jain"	2003	7	43	2	2	0	45	0	0	11	83	0	83	"Jain_2003"	12	36	0	0	72	0	0	0	0	0
"18"	"Nafisi"	2006	24	197	0	0	0	197	0	0	19	198	0	198	"Nafisi_2006"	18	173	0	0	179	0	0	0	0	0
"19"	"Nikkola"	1997	0	10	0	0	0	10	0	4	0	6	0	10	"Nikkola_1997"	19	10	0	4	6	0	0	0	0	0
"21"	"Ramin"	1995	39	432	2	232	0	664	8	103	17	563	0	666	"Ramin_1995"	21	393	230	95	546	0	0	0	0	0
"22"	"Sharma"	1997	12	243	1	115	0	358	0	5	16	352	0	357	"Sharma_1997"	22	231	114	5	336	0	0	0	0	0
"23"	"Sharma"	2002	15	214	1	12	0	226	0	NA	0	219	20	NA	"Sharma_2002"	23	199	11	0	0	0	213	0	1	1
"27"	"Volmanen"	2008	1	24	0	1	0	25	0	3	1	24	0	27	"Volmanen_2008"	27	23	1	3	23	0	0	0	0	0
