"id"	"Author_Year"	"y"	"n"	"mis"	"study"	"r"	"rr"
"1"	1	"Bofill_1997"	12	51	0	1	0	1
"11"	1	"Bofill_1997"	2	49	0	1	1	2
"2"	2	"Clark_1998"	84	162	0	2	0	1
"24"	2	"Clark_1998"	9	156	0	2	1	2
"4"	3	"Evron_2008"	0	44	0	4	0	1
"61"	4	"Gambling_1998"	216	616	0	6	1	2
"8"	5	"Halpern_2004"	51	118	0	8	0	1
"81"	5	"Halpern_2004"	0	124	0	8	1	2
"9"	6	"Head_2002"	2	60	0	9	0	1
"91"	6	"Head_2002"	3	56	0	9	1	2
"12"	7	"Jain_2003"	0	83	0	12	0	1
"121"	7	"Jain_2003"	2	45	0	12	1	2
"18"	8	"Nafisi_2006"	0	198	0	18	0	1
"181"	8	"Nafisi_2006"	0	197	0	18	1	2
"19"	9	"Nikkola_1997"	4	10	0	19	0	1
"191"	9	"Nikkola_1997"	0	10	0	19	1	2
"21"	10	"Ramin_1995"	103	666	0	21	0	1
"211"	10	"Ramin_1995"	232	664	0	21	1	2
"22"	11	"Sharma_1997"	5	357	0	22	0	1
"221"	11	"Sharma_1997"	115	358	0	22	1	2
"231"	12	"Sharma_2002"	12	226	0	23	1	2
"27"	13	"Volmanen_2008"	3	27	0	27	0	1
"271"	13	"Volmanen_2008"	1	25	0	27	1	2
