"Author_Year"	"n1s1.x"	"n1s0.x"	"n0s1.x"	"n0s0.x"	"n1ss.x"	"n0ss.x"	"study.x"	"miss.x"	"p1s1L"	"p1s1M"	"p1s1U"	"p0s1L"	"p0s1M"	"p0s1U"	"Author"	"Year"	"n111"	"n11s"	"n101"	"n10s"	"n1s1.y"	"n1ss.y"	"n011"	"n01s"	"n001"	"n00s"	"n0s1.y"	"n0ss.y"	"study.y"	"n110"	"n100"	"n010"	"n000"	"n1s0.y"	"n0s0.y"	"miss_r1"	"miss_r0"	"miss.y"	"c10sL"	"c10sM"	"c10sU"	"c01sL"	"c01sM"	"c01sU"
"1"	"Bofill_1997"	5	44	3	48	49	51	1	0	0.0437339609612465	0.0978775889719618	0.182639134227938	0.0272531703974468	0.070092289241705	0.141578466972523	"Bofill"	1997	5	47	0	2	0	49	1	12	2	39	0	51	1	42	2	11	37	0	0	0	0	0	0.00754724770448688	0.0397048665706575	0.112962725188793	0.128385967889274	0.22663157718726	0.351483133795835
"2"	"Clark_1998"	15	141	22	140	156	162	2	0	0.061677195767323	0.0997165746753713	0.149520021972532	0.0859930236388958	0.128897369051195	0.182795195238227	"Clark"	1998	13	147	2	9	0	156	16	84	6	78	0	162	2	134	7	68	72	0	0	0	0	0	0.0280445936412449	0.0568737100114665	0.0998783111039228	0.436520654714961	0.513268788887062	0.590360274048009
"3"	"Dickinson_2002"	85	408	71	428	493	499	3	1	0.139486759661735	0.170555505432358	0.204695931890359	0.112835022009211	0.141110395283167	0.172964916335264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"El_Kerdawy_2010"	4	11	3	12	15	15	5	1	0.0854214343596104	0.193560652516898	0.371444001210991	0.0619994706795648	0.157255025324669	0.319006816905726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"Evron_2008"	19	129	4	40	148	44	4	1	0.0816765406398529	0.125358761514049	0.180209583390984	0.0410144679517239	0.0941840269816767	0.178802258454463	"Evron"	2008	0	NA	0	NA	19	NA	0	0	4	44	0	44	4	0	0	0	40	129	0	1	0	1	NA	NA	NA	1.509380714901e-07	0.00339249459146741	0.0484125172471474
"6"	"Gambling_1998"	39	577	34	573	616	607	6	1	0.0468770163237548	0.0643525161370815	0.0850153627143895	0.0405611284032482	0.0567352343008781	0.0768054435489882	"Gambling"	1998	29	400	10	216	0	616	0	NA	0	448	34	NA	6	371	206	0	0	0	573	0	1	1	0.312244036682896	0.348996082293702	0.387301159787848	NA	NA	NA
"7"	"Grandjean_1979"	0	30	1	59	30	60	7	1	0.00593973045659744	0.0355792011577835	0.10510994513705	0.00783004835051809	0.0323152336614668	0.0835057221280836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"Halpern_2004"	12	112	12	106	124	118	8	0	0.0575811737036453	0.0987753792689445	0.153770670276069	0.0580985368329229	0.0990046889888903	0.154687053215896	"Halpern"	2004	12	124	0	0	0	124	7	51	5	67	0	118	8	112	0	44	62	0	0	0	0	0	3.39835396785663e-06	0.00269069739130174	0.0225738534553529	0.339124684943173	0.426156227851257	0.515884944177272
"9"	"Head_2002"	10	46	7	53	56	60	9	0	0.0904964114223798	0.161336224372258	0.256309449908154	0.0593630950582389	0.116117885969473	0.195804410725713	"Head"	2002	10	53	0	3	0	56	0	2	7	58	0	60	9	43	3	2	51	0	0	0	0	0	0.013859913324015	0.0511325180307152	0.125582698318473	0.00614615908781191	0.0333077344126128	0.0965251477930054
"10"	"Hogg_2000"	7	46	6	46	53	52	10	1	0.0641465457870301	0.126948699215713	0.215898665025471	0.05325630687349	0.109982095677318	0.19316747117448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
