"Mean"	"SD"	"Naive SE"	"Time-series SE"
"Sigma[1,1]"	1.74790268475731	1.65216389707116	0.00476938635359707	0.0572342454903494
"Sigma[2,1]"	0.00216301027106652	0.542417143418309	0.00156582341882814	0.00861203998023382
"Sigma[1,2]"	0.00216301027106652	0.542417143418309	0.00156582341882814	0.00861203998023382
"Sigma[2,2]"	1.02450114058106	0.655142809221247	0.00189123438630767	0.0120793121599451
"cp[1]"	0.230245307571191	0.0573737888232078	0.000165623862107539	0.000439184729889784
"cp[2]"	0.0450717914742364	0.0277859905453449	8.02112456052763e-05	0.000250543080440265
"cp[3]"	0.513387863891566	0.039121021898564	0.000112932662620546	0.000278534667427221
"cp[4]"	0.0587520147594928	0.0185133448238315	5.34434230881975e-05	0.000169069075114575
"cp[5]"	0.00886433922931942	0.0134571774161579	3.88475250187565e-05	0.000121204370596702
"cp[6]"	0.349247512789471	0.019084882568541	5.50933104419978e-05	0.00011686635650358
"cp[7]"	0.426384292963623	0.0451849290823018	0.000130437654844906	0.000332786029957653
"cp[8]"	0.00501163415373284	0.00635289203173181	1.8339219623265e-05	7.3436231576468e-05
"cp[9]"	0.0379327445564961	0.0236796545636025	6.83572746830662e-05	0.000200143832260139
"cp[10]"	0.0558733723048752	0.0290064272477488	8.37343428985853e-05	0.00025060749122594
"cp[11]"	0.00544091951809531	0.00790007443580102	2.2805550510639e-05	6.61076104370641e-05
"cp[12]"	0.0495171827253085	0.0305692489255432	8.82458204804351e-05	0.000258815983394482
"cp[13]"	0.00248456441228411	0.00370908882773588	1.07072171657077e-05	3.462599853774e-05
"cp[14]"	0.00335284135995432	0.00417896621579395	1.20636363481149e-05	4.10229264543233e-05
"cp[15]"	0.354501151575481	0.136396521326316	0.000393742841521386	0.001147154002611
"cp[16]"	0.0354826061512255	0.046740435069917	0.000134928013848284	0.000451739954935311
"cp[17]"	0.154413128123797	0.0140004219463573	4.04157368974885e-05	9.03885686599819e-05
"cp[18]"	0.347946598871148	0.0184183764156994	5.31692729081996e-05	0.000126782492087886
"cp[19]"	0.015147166423042	0.00644635367184138	1.86090201386458e-05	6.39545150273837e-05
"cp[20]"	0.318571413552775	0.0245962207591309	7.10031733816584e-05	0.0001733780091411
"cp[21]"	0.0537686950790706	0.0149059497375169	4.3029770467412e-05	0.000111842317446545
"cp[22]"	0.111928813621685	0.0574775259684466	0.000165923325451182	0.000474626291388113
"cp[23]"	0.0487446312537609	0.0385079948071415	0.000111163005839279	0.000335457592135879
"diff"	0.0147315038442671	0.102477307193682	0.0002958265044705	0.00750157074426087
"mu[1]"	-1.5398749791026	0.424390184060959	0.00122510893504515	0.0377191749274898
"mu[2]"	-1.61917329233344	0.342175462044089	0.000987775475606197	0.0341401187659058
"uout"	0.160442505520395	0.0612307354179826	0.000176757907881255	0.00333056652852616
"vout"	0.145711001676128	0.0721744894901179	0.000208349804678717	0.00537504617259802
