"Mean"	"SD"	"Naive SE"	"Time-series SE"
"Sigma[1,1]"	0.171542673457211	0.065341963443224	0.00018862600091662	0.000610603910080305
"Sigma[2,1]"	0.0839591998805338	0.0471140803376481	0.000136006634827814	0.000435624341323035
"Sigma[1,2]"	0.0839591998805338	0.0471140803376481	0.000136006634827814	0.000435624341323035
"Sigma[2,2]"	0.160903758375908	0.0589500422454913	0.000170174113795871	0.000579725444325416
"diff"	0.0161559821920591	0.018976008927931	5.47790193134285e-05	0.000366293984452635
"p0s1[1]"	0.0737269411769991	0.0295406305691914	8.52764550557696e-05	0.000251219582123686
"p0s1[2]"	0.130328960560924	0.0247577344739348	7.14694233152576e-05	0.000191683832556735
"p0s1[3]"	0.141591480836493	0.0153623184549546	4.43471934767239e-05	0.00011922703443326
"p0s1[4]"	0.0984207130766389	0.0356558902796886	0.00010292968925587	0.000321798311682374
"p0s1[5]"	0.165661519105884	0.0659909274254393	0.000190499398565752	0.000571258668016511
"p0s1[6]"	0.0572410615952807	0.00926843594194022	2.67556699302299e-05	7.41778044392597e-05
"p0s1[7]"	0.0357159174114266	0.0196958592023507	5.68570480619907e-05	0.000178135235654295
"p0s1[8]"	0.101001335869574	0.0249289529964791	7.19636886156638e-05	0.000204884261512741
"p0s1[9]"	0.119320394977046	0.0353665038353114	0.000102094302548065	0.000289056994853478
"p0s1[10]"	0.113552703628608	0.0362605745436234	0.000104675262368657	0.000306426623001551
"p0s1[11]"	0.0863082537673261	0.0191925215333725	5.54040373686014e-05	0.000156262023133451
"p0s1[12]"	0.131996717519465	0.0332379456431692	9.59496843219693e-05	0.000265515654531087
"p0s1[13]"	0.106678337237071	0.0361455747254086	0.000104343286488642	0.000301064292405213
"p0s1[14]"	0.127181550929967	0.0180450367827684	5.20915342203401e-05	0.000138831255800645
"p0s1[15]"	0.166559079296066	0.0189678514208172	5.47554706187882e-05	0.000143647022171908
"p0s1[16]"	0.0982754288442565	0.0442122941382279	0.000127629899610984	0.000381302874336609
"p0s1[17]"	0.102924308899027	0.0285447974655934	8.24017325036185e-05	0.000235769163612887
"p0s1[18]"	0.0971810634911617	0.0198354605296205	5.72600423813829e-05	0.000157763047430353
"p0s1[19]"	0.0641234109747163	0.0420060766369792	0.0001212610982698	0.000367984436603102
"p0s1[20]"	0.114913410860254	0.0364586744230277	0.00010524712746216	0.000305798994857399
"p0s1[21]"	0.0397364114109119	0.00734359867427622	2.11991433570698e-05	5.83311223150063e-05
"p0s1[22]"	0.0469094920322885	0.0107056040054226	3.09044167718413e-05	8.53247523580717e-05
"p0s1[23]"	0.0856848103160955	0.017274319862115	4.98666661122991e-05	0.000134204126886626
"p0s1[24]"	0.300709471804256	0.0584080269689189	0.000168609450466701	0.000503577565657654
"p0s1[25]"	0.219735558683366	0.0790130589442522	0.000228091054254799	0.000710420820735367
"p0s1[26]"	0.0657999949850483	0.0299446502740394	8.64427594825294e-05	0.000274684458284686
"p0s1[27]"	0.0618554447240498	0.032978967794725	9.52020796694023e-05	0.000282869876289535
"p1s1[1]"	0.101950054135121	0.0358617799638296	0.000103524041578681	0.000305657903215621
"p1s1[2]"	0.101290727159474	0.0224079259807648	6.46861104848788e-05	0.000178796100137927
"p1s1[3]"	0.170916744506322	0.0166197436663099	4.79770673980331e-05	0.000124235039719175
"p1s1[4]"	0.1268642826604	0.0253408554642794	7.31527486189855e-05	0.000189153052625096
"p1s1[5]"	0.202928232050911	0.0742478872976833	0.000214335188590392	0.000653862828559222
"p1s1[6]"	0.0647657563226903	0.00977650827205353	2.82223484130235e-05	7.55838587820792e-05
"p1s1[7]"	0.0409616431656845	0.0264016768221842	7.62150761017278e-05	0.000248381490615631
"p1s1[8]"	0.100598839493106	0.0246991833189787	7.13004006898813e-05	0.000200525509583578
"p1s1[9]"	0.164383365852087	0.0425173691111872	0.000122737072507893	0.000349149854602002
"p1s1[10]"	0.130316587321457	0.0391016115326009	0.000112876629720477	0.000330814788453335
"p1s1[11]"	0.0759728053863144	0.0181184719405015	5.23035232607661e-05	0.00014740102987939
"p1s1[12]"	0.179136824940058	0.0479824616160755	0.00013851343565211	0.000406849717233359
"p1s1[13]"	0.0746080266645218	0.0355555829415612	0.000102640126912522	0.0003087577816959
"p1s1[14]"	0.119444982334386	0.0177249256966065	5.11674531115094e-05	0.000139571005241126
"p1s1[15]"	0.168445916174189	0.0188141928404917	5.4311896505217e-05	0.000143108518563959
"p1s1[16]"	0.112078190537389	0.045456168521425	0.000131220655660869	0.000386920256993475
"p1s1[17]"	0.114685984819256	0.0290512924239467	8.38638575063608e-05	0.000229797169282204
"p1s1[18]"	0.121401681176587	0.0219058068378822	6.32366173733363e-05	0.000172303288223255
"p1s1[19]"	0.071451035578818	0.0463672496883725	0.000133850720445822	0.000418140351255582
"p1s1[20]"	0.161590502307613	0.0420241762982184	0.000121313347491244	0.000337462078035998
"p1s1[21]"	0.062550357261889	0.00922090673951881	2.66184649411681e-05	6.97442172590529e-05
"p1s1[22]"	0.0405170970811694	0.0101674383482919	2.93508663367764e-05	8.39248307733124e-05
